"well","time_point","row","plate_column","mean_pixel_value","med_pixel_value","max_pixel_value","total_pixel_value","num_pixels","num_saturated","inducer","concentration_uM"
"E16",38,"E",16,0.152832244008715,0.152941176470588,0.164705882352941,22.0078431372549,144,0,"",NA
"E16",39,"E",16,0.160648148148148,0.16078431372549,0.172549019607843,23.1333333333333,144,0,"",NA
"E16",40,"E",16,0.168246187363834,0.168627450980392,0.184313725490196,24.2274509803922,144,0,"",NA
"E16",41,"E",16,0.174945533769063,0.176470588235294,0.188235294117647,25.1921568627451,144,0,"",NA
"E16",42,"E",16,0.179193899782135,0.180392156862745,0.192156862745098,25.8039215686275,144,0,"",NA
"E16",43,"E",16,0.18338779956427,0.184313725490196,0.192156862745098,26.4078431372549,144,0,"",NA
"E16",44,"E",16,0.185566448801743,0.184313725490196,0.2,26.721568627451,144,0,"",NA
"E16",45,"E",16,0.190359477124183,0.188235294117647,0.203921568627451,27.4117647058824,144,0,"",NA
"E16",46,"E",16,0.194771241830065,0.196078431372549,0.207843137254902,28.0470588235294,144,0,"",NA
"E16",47,"E",16,0.20068082788671,0.2,0.215686274509804,28.8980392156863,144,0,"",NA
"E16",48,"E",16,0.20770697167756,0.207843137254902,0.219607843137255,29.9098039215686,144,0,"",NA
"E16",49,"E",16,0.21593137254902,0.215686274509804,0.231372549019608,31.0941176470588,144,0,"",NA
"E16",50,"E",16,0.225844226579521,0.223529411764706,0.23921568627451,32.521568627451,144,0,"",NA
"E16",51,"E",16,0.237799564270153,0.23921568627451,0.254901960784314,34.243137254902,144,0,"",NA
"E16",52,"E",16,0.246132897603486,0.247058823529412,0.262745098039216,35.443137254902,144,0,"",NA
"E16",53,"E",16,0.254057734204793,0.254901960784314,0.274509803921569,36.5843137254902,144,0,"",NA
"E16",54,"E",16,0.26233660130719,0.262745098039216,0.274509803921569,37.7764705882353,144,0,"",NA
"E16",55,"E",16,0.273311546840959,0.274509803921569,0.294117647058824,39.356862745098,144,0,"",NA
"E16",56,"E",16,0.283442265795207,0.282352941176471,0.301960784313725,40.8156862745098,144,0,"",NA
"E16",57,"E",16,0.292047930283224,0.290196078431373,0.313725490196078,42.0549019607843,144,0,"",NA
"E16",58,"E",16,0.30068082788671,0.301960784313725,0.32156862745098,43.2980392156863,144,0,"",NA
"E16",59,"E",16,0.308197167755991,0.309803921568627,0.325490196078431,44.3803921568627,144,0,"",NA
"E16",60,"E",16,0.316748366013072,0.317647058823529,0.337254901960784,45.6117647058824,144,0,"",NA
"E16",61,"E",16,0.32208605664488,0.32156862745098,0.341176470588235,46.3803921568627,144,0,"",NA
"E17",0,"E",17,0.0851851851851852,0.0862745098039216,0.0941176470588235,12.2666666666667,144,0,"",NA
"E17",1,"E",17,0.0831427015250545,0.0823529411764706,0.0941176470588235,11.9725490196078,144,0,"",NA
"E17",2,"E",17,0.0823529411764706,0.0823529411764706,0.0901960784313725,11.8588235294118,144,0,"",NA
"E17",3,"E",17,0.0823529411764706,0.0823529411764706,0.0901960784313725,11.8588235294118,144,0,"",NA
